ue,thr,ew,x,se,rtx,rtse
1,2,240,242.09,0.034221,242.1,0.031386
1,4,240,242.02,0.040938,241.15,0.042322
1,8,240,241.36,0.042847,239.68,0.040743
2,2,240,241.34,0.037224,241.34,0.034109
2,4,240,241.49,0.075536,242.96,0.04791
2,8,240,241.00,0.074712,240.65,0.049233
4,2,240,240.74,0.032364,240.69,0.036843
4,4,240,240.81,0.070711,241.71,0.048732
4,8,240,241.11,0.1111,241.68,0.067536
8,2,240,240.78,0.030745,240.75,0.043549
8,4,240,240.72,0.068978,241.22,0.044881
8,8,240,240.48,0.1095,239.78,0.169267
16,2,240,240.15,0.07287,240.35,0.071512
16,4,240,239.9,0.1166,240.43,0.123376
16,8,240,233.17,0.4522,234.24,0.460705
32,2,240,239.16,0.136252,239.34,0.133431
32,4,240,235.15,0.346688,236.38,0.312341
32,8,240,223.47,0.7589,226.58,0.7172
64,2,240,239.88,0.1755,240.5,0.18376
64,4,240,239.07,0.3677,240.09,0.3232
64,8,240,242.81,0.8933,247.38,0.9372
128,2,240,240.31,0.2014,240.68,0.2101
128,4,240,239.18,0.3691,240.61,0.345
128,8,240,243.77,0.922,246.24,0.8931
256,2,240,241.36,0.266747,241.57,0.2938
256,4,240,241.21,0.426,242.1,0.3902
256,8,240,247.96,0.9585,250.3,0.9527
