ue,thr,ew,x,se,rtx,rtse
1,2,480,482.19,0.032885,482.18,0.031589
1,4,480,481.89,0.042366,481.03,0.041626
1,8,480,481.35,0.048504,479.54,0.043923
2,2,480,481.28,0.036956,481.3,0.043078
2,4,480,481.36,0.073528,483.13,0.046149
2,8,480,480.96,0.074594,480.66,0.047727
4,2,480,480.67,0.031369,480.69,0.033369
4,4,480,480.82,0.080059,481.57,0.057518
4,8,480,480.94,0.1055,481.55,0.059723
8,2,480,480.73,0.036049,480.63,0.042613
8,4,480,480.87,0.080741,480.99,0.054579
8,8,480,484.75,0.2649,483.55,0.19872
16,2,480,480.63,0.029702,480.58,0.044148
16,4,480,480.84,0.078638,481.11,0.053836
16,8,480,484.7,0.3303,485.93,0.359636
32,2,480,480.62,0.029705,480.58,0.031134
32,4,480,480.8,0.080714,481.12,0.063352
32,8,480,482.62,0.2436,482.94,0.2087
64,2,480,480.38,0.1647,480.39,0.065166
64,4,480,480.09,0.14,480.38,0.137
64,8,480,479.49,0.2532,479.3,0.2962
128,2,480,480.29,0.1707,480.28,0.1351
128,4,480,479.91,0.1325,480,0.1357
128,8,480,479.98,0.3152,479.51,0.3442
256,2,480,480.23,0.104315,480.23,0.104
256,4,480,479.08,0.2089,479.35,0.1643
256,8,480,478.61,0.4131,478.38,0.3906
