ue,thr,ew,x,se,rtx,rtse
1,2,640,642.00,0.033868,641.99,0.039779
1,4,640,641.91,0.132709,640.98,0.051292
1,8,640,641.26,0.047766,639.59,0.053822
2,2,640,641.27,0.037782,641.25,0.041001
2,4,640,641.13,0.096703,642.71,0.065082
2,8,640,640.93,0.173798,640.41,0.071828
4,2,640,640.67,0.031542,640.82,0.044174
4,4,640,640.69,0.074092,641.59,0.052114
4,8,640,641.01,0.1046,641.49,0.061304
8,2,640,640.4,0.023194,640.47,0.034030
8,4,640,640.17,0.070396,640.59,0.049526
8,8,640,640.1,0.1021,641.08,0.072429
16,2,640,640.45,0.023279,640.42,0.031629
16,4,640,640.4,0.072306,640.85,0.056817
16,8,640,640.1,0.1062,640.46,0.071927
32,2,640,639.87,0.086612,639.94,0.083966
32,4,640,639.05,0.240645,639.48,0.190109
32,8,640,638.76,0.4078,637.02,0.4865
64,2,640,640.2,0.1196,640.26,0.304397
64,4,640,640.02,0.191,640.09,0.1556
64,8,640,639.54,0.3848,638.8,0.3774
128,2,640,640.51,0.2429,640.42,0.2103
128,4,640,640.38,0.213,640.26,0.2038
128,8,640,639.90,0.4291,639.61,0.4192
256,2,640,640.30,0.086084,640.37,0.1213
256,4,640,640.02,0.2416,640.5,0.1907
256,8,640,640.59,0.4968,640.5,0.5
