ue,thr,x,se,rtx,rtse
32,2,1.3465,0.03804,2.3582,0.040427
32,4,2.3101,0.040663,2.294,0.040634
32,8,1.2390,0.039139,1.1898,0.038844
64,2,5.8919,0.36787,12.809,0.54971
64,4,11.906,0.47814,12.066,0.52976
64,8,5.9618,0.36714,6.279,0.4154
128,2,28.022,1.3195,61.475,1.6740
128,4,60.607,1.6303,59.592,1.6491
128,8,29.554,1.3683,28.701,1.3659
256,2,54.780,2.2558,96.816,2.3583
256,4,109.050,2.5904,94.453,2.3198
256,8,56.680,2.3421,49.010,2.0634
